ts	imei	mwra	c.android.youtube	c.dogalize	c.android.chrome	c.katana	c.android.gm	c.android.vending	c.UCMobile.intl	c.UCMobile.x86	c.updateassist	c.raider
2018-05-05 10:00:00	8630330696303482410	1.00000	17.39665	11.29150	13.43561	14.23897	7.32511	0.00132	98.69042	92.04075	61.62633	97.12098
2018-05-05 10:01:00	8630330696303482212	0.00000	10.61653	9.20104	11.68579	10.20889	11.76622	0.01660	45.22997	27.03712	66.53316	97.87506
2018-05-05 10:02:00	8630330696303482089	1.00000	14.77523	13.61966	11.91237	11.84620	8.78178	0.00120	37.14523	6.35773	29.78674	95.44037
2018-05-05 10:03:00	8630330696303481651	0.00000	10.15758	10.41378	13.02100	14.23791	9.19270	0.01834	37.68223	83.77371	72.27467	21.83431
2018-05-05 10:04:00	8630330696303482147	1.00000	13.84316	10.07134	11.56726	8.23318	11.50789	0.00578	88.44209	52.49199	25.46815	99.17596
2018-05-05 10:05:00	3590433799317661131	0.00000	10.69885	9.49185	13.56195	9.92054	13.28271	0.35706	6.88503	30.34454	47.52922	60.25479
2018-05-05 10:06:00	359043379931766502	1.00000	8.08262	8.66910	13.19620	12.00952	11.77136	0.07683	4.88523	67.53379	79.45274	99.65969
2018-05-05 10:07:00	3590433799317662238	1.00000	13.95695	12.87030	12.84089	10.66275	13.21126	0.00187	3.85825	46.70340	68.55642	2.37365
2018-05-05 10:08:00	3590433799317662220	1.00000	15.97647	7.11758	12.09807	5.84526	7.66474	0.00045	40.17551	1.45024	24.90260	67.10022
2018-05-05 10:09:00	3590433799317661628	1.00000	13.95567	9.50750	13.52801	14.05844	9.38395	0.00008	7.96109	38.49295	53.21561	38.92088
2018-05-05 10:10:00	863033069630348875	1.00000	11.75609	15.29890	12.02578	11.00999	12.63704	0.00006	1.14551	47.23299	18.45440	22.56831
2018-05-05 10:11:00	8630330696303481370	1.00000	11.53948	9.71352	10.44109	11.84265	12.43104	0.00453	4.17527	72.82895	21.29494	52.90414
2018-05-05 10:12:00	359043379931766825	0.00000	12.05952	12.43677	8.85431	7.34997	13.13714	0.00150	10.93895	98.73813	97.68488	63.41719
2018-05-05 10:13:00	8630330696303481651	0.00000	10.55780	9.14567	11.78203	14.68423	9.69697	0.14729	16.84189	52.68836	12.38267	7.22047
2018-05-05 10:14:00	3590433799317661263	0.00000	10.77288	9.45063	12.27665	14.82385	9.99633	0.00745	54.18429	96.53124	53.81200	62.29842
2018-05-05 10:15:00	3590433799317662303	0.00000	10.64002	9.57710	15.33650	14.09506	10.90669	0.00482	85.11867	17.53708	81.62935	86.28001
2018-05-05 10:16:00	8630330696303482246	1.00000	13.11010	10.97275	9.72306	14.76112	9.59356	0.00012	97.62861	74.37833	33.30491	82.20173
2018-05-05 10:17:00	863033069630348818	1.00000	14.77948	14.15945	12.42548	12.26891	8.67363	0.00038	34.09247	79.61702	72.98523	59.49712
2018-05-05 10:18:00	359043379931766320	0.00000	7.05185	9.00611	10.78499	8.65542	14.01117	0.00174	96.59767	75.54684	38.59401	67.65526
2018-05-05 10:19:00	3590433799317662071	1.00000	12.73616	13.78660	13.53010	11.17280	11.08999	0.00075	15.79768	12.18036	10.66164	75.04413
2018-05-05 10:20:00	3590433799317661727	1.00000	13.27620	16.25979	14.51585	14.51990	9.72591	0.00519	26.10515	85.65573	12.36138	57.47614
2018-05-05 10:21:00	863033069630348701	1.00000	15.15497	8.89899	12.33600	15.82623	9.69627	0.00267	92.80538	36.69077	83.28341	68.43311
2018-05-05 10:22:00	8630330696303481669	0.00000	11.53457	11.18395	13.13807	11.49715	12.29454	4.99517	93.61075	99.27842	9.10970	78.21760
2018-05-05 10:23:00	863033069630348388	0.00000	12.62124	8.67928	13.47779	9.81736	8.67905	0.00144	84.54208	80.01162	34.16721	44.05169
2018-05-05 10:24:00	3590433799317661123	1.00000	12.45279	8.92010	11.11640	17.83557	9.31086	0.00400	27.42842	47.91343	96.67667	37.72814
2018-05-05 10:25:00	3590433799317661859	1.00000	12.33762	9.45229	8.34226	9.61354	9.85672	0.00063	11.92012	27.40437	16.17538	83.79283
2018-05-05 10:26:00	863033069630348305	1.00000	13.62307	13.60315	11.09406	12.86410	10.27341	0.00233	74.50687	6.79530	76.01838	86.58360
2018-05-05 10:27:00	359043379931766759	0.00000	6.42324	11.83829	12.26198	9.15809	16.56160	0.02409	88.06766	77.53075	94.65313	38.37746
2018-05-05 10:28:00	3590433799317661032	1.00000	10.06426	8.18514	6.52896	10.80952	8.16408	0.00420	89.30867	51.53458	64.99687	91.98851
