latitude	longitude	store_name	code	location	imei
30.46907	70.96699	Kot Addu	PK	Asia/Karachi	863033069630348297
-22.92306	-53.13722	Loanda	BR	America/Sao_Paulo	863033069630348289
51.21187	4.25633	Beveren	BE	Europe/Brussels	8630330696303482204
50.80019	7.20769	Siegburg	DE	Europe/Berlin	863033069630348503
54.48147	53.47103	Oktyabr’skiy	RU	Asia/Yekaterinburg	3590433799317661529
32.9156	-117.14392	Mira Mesa	US	America/Los_Angeles	863033069630348479
26.2649	81.54855	Jais	IN	Asia/Kolkata	863033069630348891
45.78071	12.84052	Portogruaro	IT	Europe/Rome	8630330696303481289
20.21322	-100.88023	Salvatierra	MX	America/Mexico_City	8630330696303482329
25.95533	68.88871	Jhol	PK	Asia/Karachi	863033069630348974
-38.16604	145.13643	Frankston South	AU	Australia/Melbourne	359043379931766429
23.15678	-81.24441	Varadero	CU	America/Havana	359043379931766080
46.51872	86.00214	Hoxtolgay	CN	Asia/Urumqi	863033069630348123
55.85	37.56667	Likhobory	RU	Europe/Moscow	863033069630348768
58.04254	65.27258	Tavda	RU	Asia/Yekaterinburg	3590433799317662220
7.65649	4.92235	Efon-Alaaye	NG	Africa/Lagos	359043379931766056
8.35122	-62.64102	Ciudad Guayana	VE	America/Caracas	8630330696303481594
22.98212	-80.58556	Corralillo	CU	America/Havana	8630330696303482337
33.86419	48.26258	Aleshtar	IR	Asia/Tehran	863033069630348792
-23.85972	35.34722	Maxixe	MZ	Africa/Maputo	8630330696303481628
39.78504	-85.76942	Greenfield	US	America/Indiana/Indianapolis	3590433799317661917
41.27194	123.17306	Liaoyang	CN	Asia/Shanghai	3590433799317661644
27.52948	68.75915	Khairpur Mir’s	PK	Asia/Karachi	3590433799317661891
5.30383	-1.98956	Tarkwa	GH	Africa/Accra	359043379931766130
0.03813	36.36339	Nyahururu	KE	Africa/Nairobi	863033069630348057
41.80753	-87.65644	New City	US	America/Chicago	3590433799317661289
34.4833	136.84186	Toba	JP	Asia/Tokyo	3590433799317662048
41.48199	-81.79819	Lakewood	US	America/New_York	863033069630348206
43.31667	-2.68333	Gernika-Lumo	ES	Europe/Madrid	8630330696303481875
15.5439	73.7553	Calangute	IN	Asia/Kolkata	359043379931766213
53.46506	-1.47217	Chapletown	GB	Europe/London	8630330696303482428
8.48714	-13.2356	Freetown	SL	Africa/Freetown	863033069630348081
27.85	112.9	Xiangtan	CN	Asia/Shanghai	863033069630348529
40.24537	-75.64963	Pottstown	US	America/New_York	3590433799317661362
33.52253	-117.70755	Laguna Niguel	US	America/Los_Angeles	863033069630348453
33.7207	-116.21677	Indio	US	America/Los_Angeles	8630330696303482014
45.39402	9.29109	San Giuliano Milanese	IT	Europe/Rome	3590433799317661883
-8.99167	125.21972	Maliana	TL	Asia/Dili	8630330696303482469
17.34769	78.55757	Lal Bahadur Nagar	IN	Asia/Kolkata	3590433799317661032
15.73628	75.96976	Gajendragarh	IN	Asia/Kolkata	3590433799317662170
50.5107	18.30056	Strzelce Opolskie	PL	Europe/Warsaw	8630330696303481107
41.75338	-86.11084	Granger	US	America/Indiana/Indianapolis	8630330696303481362
41.47892	-87.45476	Schererville	US	America/Chicago	8630330696303482055
52.2	8.63333	Kirchlengern	DE	Europe/Berlin	359043379931766056
68.79833	16.54165	Harstad	NO	Europe/Oslo	8630330696303481123
31.76212	-95.63079	Palestine	US	America/Chicago	863033069630348701
-19.72806	-50.19556	Iturama	BR	America/Sao_Paulo	8630330696303481040
51.39323	0.47713	Strood	GB	Europe/London	3590433799317661214
-36.9256	-73.02841	Chiguayante	CL	America/Santiago	863033069630348511
30.46907	70.96699	Kot Addu	PK	Asia/Karachi	8630330696303482477
19.8173	-97.35992	Teziutlan	MX	America/Mexico_City	3590433799317661396
53.7446	-0.33525	Kingston upon Hull	GB	Europe/London	359043379931766726
-32.45242	-71.23106	La Ligua	CL	America/Santiago	8630330696303481735
25.6439	77.9129	Narwar	IN	Asia/Kolkata	359043379931766924
37.49073	-2.77259	Baza	ES	Europe/Madrid	863033069630348404
-2.90055	-79.00453	Cuenca	EC	America/Guayaquil	3590433799317661560
19.32889	-99.32556	San Lorenzo Acopilco	MX	America/Mexico_City	3590433799317661693
28.92694	78.23456	Bachhraon	IN	Asia/Kolkata	8630330696303482451
-8.66667	-35.71667	Catende	BR	America/Recife	8630330696303481552
19.04222	-98.11889	Casa Blanca	MX	America/Mexico_City	8630330696303481925
50.64336	7.2278	Bad Honnef	DE	Europe/Berlin	8630330696303481107
51.168	7.973	Finnentrop	DE	Europe/Berlin	3590433799317661917
-34.64167	-60.47389	Chacabuco	AR	America/Argentina/Buenos_Aires	8630330696303482469
44.43579	26.01649	Sector 6	RO	Europe/Bucharest	359043379931766932
11.50526	77.23826	Sathyamangalam	IN	Asia/Kolkata	863033069630348107
47.90771	106.88324	Ulan Bator	MN	Asia/Ulaanbaatar	3590433799317661875
