ts	imei	mwra	p.android.packageinstaller	p.android.documentsui	p.android.chrome	p.android.settings	p.android.externalstorage	p.system	p.android.gm	p.browser.provider	p.katana	p.android.vending	p.notifier	p.android.gms	p.process.gapps	p.simulator	p.android.defcontainer	p.olauncher	p.google	p.inputmethod.latin	p.dogalize	p.gms.persistent
2018-05-05 10:00:00	8630330696303482410	1.00000	13.68653	10.01320	11.73238	14.59277	8.42552	10.95205	11.20245	47.68690	50.94947	53.92892	25.01619	49.03105	65.99170	52.96402	30.21250	36.89450	27.92181	87.65404	72.05886	22.66542
2018-05-05 10:01:00	8630330696303482212	0.00000	14.15421	12.56548	8.89882	15.48342	14.24980	11.03405	10.71216	73.59660	55.36450	62.22958	68.00143	44.75570	92.02080	50.16760	51.10745	43.43791	8.92813	77.28372	61.92963	21.79076
2018-05-05 10:02:00	8630330696303482089	1.00000	12.59785	9.90255	6.78279	10.23255	9.73566	16.41773	11.93584	51.54579	47.30601	38.42245	35.19567	65.26093	71.75549	24.48755	36.72980	19.58583	86.59976	64.82611	57.18177	51.87016
2018-05-05 10:03:00	8630330696303481651	0.00000	9.59027	12.66385	8.31718	14.74925	13.98539	13.37612	13.64783	69.51880	16.70620	58.21143	73.17258	45.87318	54.01381	46.84810	48.04270	44.80146	57.38266	67.04708	53.29525	53.39592
2018-05-05 10:04:00	8630330696303482147	1.00000	12.36226	11.51115	13.88372	8.61784	11.35006	10.75510	13.08467	38.14841	58.26443	36.05149	38.18334	35.97266	16.50591	98.07232	54.12022	10.29864	6.49808	77.20011	82.48820	95.91452
2018-05-05 10:05:00	3590433799317661131	0.00000	10.69910	15.63770	7.92783	14.86557	11.36049	13.97328	10.57967	25.03845	70.51423	48.44335	72.20928	22.78764	31.67575	9.14365	13.60513	27.61535	82.11129	70.25698	15.16825	31.41263
2018-05-05 10:06:00	359043379931766502	1.00000	16.19241	14.10042	13.98202	12.76945	14.84049	15.37126	9.90444	42.13876	32.17656	48.67805	56.67867	46.64963	98.63498	51.33412	94.73265	59.78117	36.51847	36.61012	31.82878	39.17372
2018-05-05 10:07:00	3590433799317662238	1.00000	12.98941	10.38409	12.26686	10.53783	11.81054	13.89034	11.12038	42.63531	38.24005	36.56616	64.18172	29.52279	91.78909	37.25155	25.16213	54.45424	1.20156	25.64102	68.76759	18.40392
2018-05-05 10:08:00	3590433799317662220	1.00000	14.06844	8.77965	11.75981	5.81046	13.35230	10.98862	14.33613	34.96977	53.45541	23.74101	50.33626	21.30930	97.91811	8.37005	19.85244	14.68255	61.27970	60.96021	27.32364	45.90377
2018-05-05 10:09:00	3590433799317661628	1.00000	14.55702	6.66887	10.39523	14.03737	7.45769	12.66796	14.25389	60.31706	55.31405	47.81943	57.26617	26.16867	2.61192	26.53431	47.67920	49.25707	67.01681	4.00736	79.43130	44.04839
2018-05-05 10:10:00	863033069630348875	1.00000	12.68508	7.14522	11.64498	14.06644	12.84719	16.59399	9.20746	65.14555	69.90538	51.70132	44.55029	42.92702	5.71717	21.86719	72.98489	31.85068	87.22538	37.16226	74.96688	44.05397
2018-05-05 10:11:00	8630330696303481370	1.00000	12.17849	11.25122	15.18978	9.61276	7.54550	14.78928	16.22059	58.51497	36.98410	30.88505	60.16628	66.94048	2.56352	33.51170	53.05367	38.42476	8.45775	54.34642	38.05835	36.05968
2018-05-05 10:12:00	359043379931766825	0.00000	18.73464	10.11778	11.80953	11.32456	15.29424	11.45526	8.90531	60.12441	71.77938	51.60655	44.71502	60.66116	43.22480	17.32268	43.16934	54.20659	60.13423	85.30545	30.19558	47.52477
2018-05-05 10:13:00	8630330696303481651	0.00000	9.15095	14.75188	11.71845	15.73042	14.27160	14.29394	14.39823	24.94615	49.66406	63.30509	75.58471	55.19078	59.17357	29.07516	7.99757	23.06564	6.40421	15.33820	96.89983	58.09860
2018-05-05 10:14:00	3590433799317661263	0.00000	8.15973	11.76055	9.03488	13.01686	14.03065	13.46882	14.75039	51.81879	58.07203	45.22057	74.15329	49.94712	12.24567	62.09966	96.28410	50.81432	25.37113	87.62082	52.34716	84.78942
2018-05-05 10:15:00	3590433799317662303	0.00000	8.13958	11.32674	12.20612	9.66549	16.24410	14.13925	12.25924	47.46931	52.48036	50.78252	61.12748	54.25618	75.48702	46.98370	49.54249	23.04766	78.08166	90.72628	44.94251	77.44058
2018-05-05 10:16:00	8630330696303482246	1.00000	14.05715	6.54834	11.16620	11.98940	12.37789	16.66389	13.14651	42.36023	26.16789	42.65060	59.40329	42.33625	4.12405	41.05723	66.79927	66.57616	63.75041	46.38738	88.24667	73.13162
2018-05-05 10:17:00	863033069630348818	1.00000	10.85273	8.69032	10.50524	13.18357	8.57856	15.31370	9.65079	46.95695	26.44014	51.20142	57.78091	56.52924	96.32567	81.41681	40.92512	74.18945	52.82048	11.40389	43.70955	94.92091
2018-05-05 10:18:00	359043379931766320	0.00000	17.43209	10.28474	9.76292	14.00802	16.12143	10.87158	11.05559	48.45707	38.91554	52.10035	63.94164	48.79773	56.82110	82.00185	81.05174	95.27202	55.12944	5.63937	5.89614	26.76754
2018-05-05 10:19:00	3590433799317662071	1.00000	13.62035	9.45659	8.64480	12.65819	11.05495	13.53207	9.22207	66.91114	41.31573	52.28650	56.85536	47.36296	20.29391	45.36830	2.58956	18.88439	30.11307	87.63167	2.19818	9.85796
2018-05-05 10:20:00	3590433799317661727	1.00000	13.40329	11.40474	9.93339	14.80558	8.76638	14.00827	8.02559	59.08758	41.44877	49.41819	61.53895	31.48879	95.90241	63.21288	70.85956	97.83480	33.70670	61.78327	8.95749	35.20802
2018-05-05 10:21:00	863033069630348701	1.00000	16.19229	10.71907	10.69631	11.81393	9.72813	12.38502	13.61380	74.71837	45.14533	53.00169	69.47805	41.11570	41.96743	91.19482	33.54891	34.85799	61.82800	6.06619	98.85631	14.44400
2018-05-05 10:22:00	8630330696303481669	0.00000	10.46622	18.27611	7.95256	14.43482	10.89666	13.86235	9.15739	52.45663	61.50289	57.49386	70.88480	45.89567	28.55117	6.25291	21.07983	23.52853	10.42777	16.66780	93.02738	2.39212
2018-05-05 10:23:00	863033069630348388	0.00000	9.19049	10.10984	10.38474	11.05118	14.04571	14.65487	15.24297	43.86717	77.13480	29.33536	32.89350	32.53951	44.18013	19.46561	3.45540	67.54709	13.88158	30.90000	33.86801	25.83633
2018-05-05 10:24:00	3590433799317661123	1.00000	14.93449	11.13005	8.76960	10.26586	10.97560	13.73297	13.00845	52.74614	57.14528	42.68337	46.75979	71.34935	91.87177	80.76656	56.23324	13.64546	1.78430	0.26092	28.06833	56.95699
2018-05-05 10:25:00	3590433799317661859	1.00000	13.64576	9.22587	13.35712	10.04839	9.62416	13.42201	13.87619	42.04474	39.97925	43.73674	61.88193	32.01931	44.79689	19.89194	21.89647	90.07137	70.47251	49.20124	56.99593	1.61221
2018-05-05 10:26:00	863033069630348305	1.00000	11.87919	10.58675	9.03674	10.59824	11.20445	17.10565	12.37872	56.14010	57.02169	41.45023	51.29277	43.26370	38.82513	24.27020	27.85875	53.39599	52.11766	9.39668	53.54854	22.41105
